pref,city,pop,A2_car,A3_public,A4_walk_bike,A6,B1,B2,B3,B4,C1_park_area,D1,D3,PC1_A,PC1_B,PC1_C,PC1_D,GSRPI,GSRPI_rank,cluster,cluster_name,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,cluster_k8
東京都,武蔵野市,150219,12.1,52.0,25.7,20.5,1.8,42.4,18.2,31.8,4.38,100.0,142.0,2.337512047886436,2.540566391614737,-0.4309182509846557,1.7383210008455487,1.5463702973405167,1,1,高アクセス/暑熱耐性・低緑型,1,2,2,3,2,2,2
神奈川県,茅ヶ崎市,243780,26.9,41.1,17.2,24.0,2.0,41.5,19.0,31.4,8.69,95.8,240.0,0.8606370678500285,2.720249487559925,1.2036093339238394,0.7314292454449853,1.3789812836946944,2,1,高アクセス/暑熱耐性・低緑型,1,2,2,3,2,2,2
東京都,三鷹市,195391,14.6,51.9,24.4,20.8,2.0,43.1,18.5,31.9,3.35,99.5,148.0,2.20686119932831,2.296942026757064,-0.8215362121112798,1.6635335979800918,1.3364501529885464,3,1,高アクセス/暑熱耐性・低緑型,1,2,2,3,2,2,2
東京都,府中市,262790,10.2,52.5,22.7,22.4,2.6,45.8,20.2,32.3,6.51,95.59818677669078,178.0,2.173708922022693,1.296513374744697,0.3768645229956447,1.2137446498772426,1.2652078674100693,4,1,高アクセス/暑熱耐性・低緑型,1,2,2,3,2,2,2
東京都,小平市,198739,11.6,48.3,22.1,22.0,2.4,44.5,19.2,32.0,4.75,98.0,168.0,1.9852366946979896,1.8525319162394738,-0.2905991775702373,1.4232605670589,1.2426075001065315,5,1,高アクセス/暑熱耐性・低緑型,1,2,2,3,2,2,2
東京都,多摩市,146951,10.1,49.7,25.0,28.2,2.0,43.0,18.0,31.8,5.71,96.0,195.0,1.2779950615368636,2.4517163280465755,0.07347193182933473,1.100244722109841,1.2258570108806537,6,1,高アクセス/暑熱耐性・低緑型,1,2,2,3,2,2,2
東京都,調布市,243862,14.7,53.9,24.1,21.2,2.2,44.0,19.0,32.0,3.07,98.5,155.0,2.2423471443298864,1.9942230215340058,-0.9277236190194884,1.5537358480612282,1.2156455987264079,7,1,高アクセス/暑熱耐性・低緑型,1,2,2,3,2,2,2
東京都,西東京市,207388,12.2,51.4,24.1,22.8,2.0,43.8,19.0,32.0,3.23,99.0,152.0,2.000989965945419,2.0637498386622752,-0.8670451007862263,1.6046570174394548,1.2005879303152305,8,1,高アクセス/暑熱耐性・低緑型,1,2,2,3,2,2,2
東京都,立川市,184183,12.9,50.2,23.9,23.1,2.8,46.2,20.8,32.5,8.04,92.3,185.0,1.88177590540013,0.9833486445646498,0.9571028536012124,0.9795923081405704,1.2004549279266405,9,1,高アクセス/暑熱耐性・低緑型,1,2,2,3,2,2,2
東京都,東大和市,116841,9.2,48.9,26.7,26.0,2.4,44.5,19.5,32.1,5.57,97.0,175.0,1.5643823163134847,1.7437826075144645,0.020378228375230595,1.3134628171400364,1.1605014923358041,10,1,高アクセス/暑熱耐性・低緑型,1,2,2,3,2,2,2
東京都,日野市,189751,10.1,52.0,22.8,24.5,2.8,46.0,20.5,32.4,5.05,95.2,198.0,1.8752476136425917,1.118237248891418,-0.1768269558828711,1.0330905911970167,0.9624371244620389,11,1,高アクセス/暑熱耐性・低緑型,1,2,2,3,2,2,2
東京都,町田市,432348,10.1,55.3,24.5,26.2,2.4,44.8,19.5,32.1,4.53,88.2,235.0,1.8013694445577098,1.704573664111827,-0.37403214014097247,0.3599712757138941,0.8729705610606147,12,1,高アクセス/暑熱耐性・低緑型,1,2,2,3,2,2,2
神奈川県,藤沢市,436905,29.8,41.1,19.4,23.8,2.2,42.0,19.5,31.5,1.46,93.0,245.0,0.7871997790962123,2.4698090735403837,-1.5383012087416872,0.5401445486433559,0.5647130481345661,13,1,高アクセス/暑熱耐性・低緑型,1,2,2,0,1,3,0
